id,Date,Open,High,Low,Close,Volume,SMA-8,WMA-12
501,5/13/2014,70.97,71.34,70.9,71.16,5803000,70.27,70.25
502,5/14/2014,71.18,71.2,70.03,70.17,8585000,70.35,70.19
503,5/15/2014,70.26,70.33,69.28,69.85,9124600,70.24,70.02
504,5/16/2014,70,71.04,69.81,70.94,9294800,70.28,70.19
505,5/19/2014,70.56,71.12,70.28,71.02,6745000,70.45,70.37
506,5/20/2014,70.76,70.9,69.84,70.23,8699800,70.65,70.64
507,5/21/2014,70.71,70.75,70.07,70.4,6089200,70.65,70.73
508,5/22/2014,70.35,71.77,70.3,71.4,7359600,70.54,70.57
509,5/23/2014,72.29,72.51,71.83,71.98,7166400,70.57,70.43
510,5/27/2014,72.64,73.78,72.54,73.66,10100400,70.83,70.59
511,5/28/2014,73.3,73.57,72.92,73.27,8210000,71.38,70.97
512,5/29/2014,73.52,73.56,72.65,73.11,6448000,71.71,71.17
513,5/30/2014,73.16,73.5,72.53,73.24,6879200,72.01,71.41
514,6/2/2014,73.22,74.06,73.16,73.85,5926200,72.44,71.96
515,6/3/2014,73.72,74.35,73.58,74.18,6764400,72.93,72.6
516,6/4/2014,74.12,74.7,73.64,74.67,6495800,73.33,73.08
517,6/5/2014,74.36,75.14,74.2,74.72,5187400,73.71,73.51
518,6/6/2014,75.06,75.54,74.8,75.33,6204800,73.86,73.56
519,6/9/2014,75.38,75.4,74.65,75.18,5701000,74.16,73.78
520,6/10/2014,75.25,75.44,74.32,74.6,6641000,74.45,74.12
521,6/11/2014,74.14,74.87,73.85,74.8,7510800,74.65,74.47
522,6/12/2014,74.69,74.7,73.73,73.96,7193800,74.78,74.71
523,6/13/2014,73.87,74.9,73.53,74.69,7708800,74.75,74.85
524,6/16/2014,74.48,75.16,74.46,75.09,6759600,74.75,74.87
525,6/17/2014,75.03,75.65,74.99,75.31,5778600,74.81,74.89
526,6/18/2014,75.2,75.68,74.6,75.56,5786600,74.8,74.76
527,6/19/2014,76.55,77.5,76.46,77.23,12555000,74.86,74.68
528,6/20/2014,77.63,77.63,76.41,76.6,12436000,75.23,74.84
529,6/23/2014,76.69,77.27,76.19,76.73,4779800,75.49,75.01
530,6/24/2014,76.9,77.75,76.54,77.43,10912400,75.89,75.49
531,6/25/2014,77.04,78.18,76.96,78.12,7813800,76.28,75.89
532,6/26/2014,78.01,78.33,77.47,78.06,6983200,76.71,76.29
533,6/27/2014,77.96,78.35,77.79,77.94,8669200,77.1,76.74
534,6/30/2014,78.1,78.19,77.08,77.38,9610000,77.44,77.21
535,7/1/2014,77.89,78.2,77.6,78.08,8061400,77.47,77.27
536,7/2/2014,78.38,78.41,77.91,78.19,4785200,77.68,77.54
537,7/3/2014,78.39,79.4,78.14,79.06,6662600,77.89,77.83
538,7/7/2014,78.78,79.38,78.61,78.69,7443600,78.12,78
539,7/8/2014,78.64,78.9,78.25,78.56,7802000,78.2,78.02
540,7/9/2014,78.54,79.48,78.36,79.45,7782600,78.27,78.08
541,7/10/2014,78.61,79.05,78.19,78.85,4720000,78.49,78.21
542,7/11/2014,78.96,78.99,78.14,78.6,4239400,78.7,78.54
543,7/14/2014,78.98,78.98,78.42,78.56,4562000,78.77,78.72
544,7/15/2014,78.65,79.15,78.46,78.89,8305600,78.82,78.87
545,7/16/2014,79.06,79.06,78.31,78.73,8615400,78.8,78.81
546,7/17/2014,78.12,78.46,77.12,77.24,8446400,78.81,78.84
547,7/18/2014,77.7,78.15,77.25,77.94,6744600,78.62,78.85
548,7/21/2014,77.86,77.93,77.17,77.61,5021000,78.4,78.59
549,7/22/2014,78.33,79.03,78.2,78.74,6457000,78.22,78.43
550,7/23/2014,78.51,79.28,78.4,79.14,6439800,78.24,78.34
551,7/24/2014,79.59,80.64,79.15,80.45,16129200,78.33,78.29
552,7/25/2014,78.4,79.32,77.9,78.74,18974600,78.55,78.2
553,7/28/2014,78.8,79,78.17,78.36,8013000,78.55,78.16
554,7/29/2014,78.49,79.25,78.41,78.65,7936000,78.71,78.52
555,7/30/2014,79,79.18,78.52,78.9,8911000,78.81,78.74
556,7/31/2014,78.52,78.7,77.52,77.68,8146000,79,79.09
557,8/1/2014,77.5,77.89,76.58,76.98,7797800,78.85,79.12
558,8/4/2014,77.26,77.76,77.03,77.53,6282600,78.54,78.97
559,8/5/2014,77.17,77.46,76.43,76.79,6694600,78.12,78.38
560,8/6/2014,76.5,77.44,76.27,77.13,5935200,77.84,78.16
