id,Actual,SVM,ANN
171,91.42,37.6451225246,45.1998747598
172,93.38,39.1601090732,45.2000794083
173,93.29,38.7408105546,45.199571776
174,94.05,38.7023951937,45.2019586646
175,94.39,37.9496585063,45.1989090995
176,95.84,37.960552012,45.1975336257
177,97.76,36.4085649991,45.1883562631
178,97.46,36.0464271517,45.2010923975
179,97.37,35.840056342,45.1986915484
180,97.92,36.0180026431,45.2026581182
181,95.77,35.9429353108,45.2027389785
182,95.08,36.2439072103,45.2030125072
183,95.07,38.4900419126,45.2029928587
184,95.98,38.1703882224,45.2029032446
185,94.7,37.3961820306,45.2032375649
186,93.02,38.7373863019,45.2032362375
187,94.39,45.5867518772,44.9957885073
188,94.52,45.5323457232,44.9814467538
189,94.07,40.0886526788,45.1889880228
190,95.23,47.2309767578,45.0016948533
191,47.96,47.1064947389,44.9820688587
192,48.17,35.7059720275,24.9299586229
193,48.5,35.2906558202,24.5373365042
194,48.3,35.0098828144,23.0987934986
195,48.14,34.7620073265,20.231626482
196,48.25,34.3461739777,18.7668959811
197,47.62,33.5859613838,18.0746956355
198,47.97,33.9270841074,17.9417615546
199,48.37,33.5738965892,17.8862194804
200,48.34,33.0999106908,17.8787077554
201,49.43,32.8823295945,17.8747994825
202,51.84,32.228297523,17.878994189
203,50.87,30.1382115484,17.8891377938
204,50.61,29.5842891108,17.9148749853
205,50.65,29.2305583515,17.9097864734
206,49.58,27.4032293945,17.9545777659
207,50.29,27.5854856739,18.0284647849
208,50.45,24.8814975558,18.1142947183
209,49.41,29.2283973651,17.9493634314
210,48.93,18.8843220506,17.8975061196
211,49.35,19.6582788252,17.8693361155
212,49.78,20.410380691,17.8746979088
213,49.5,21.3528347713,17.8789108813
214,49.71,22.5006063572,17.9079624451
215,49.59,22.2064986268,17.8970806595
216,50.56,22.3130199192,17.9099205998
217,50.8,22.9156175749,17.9073662588
218,51.18,23.0935699806,17.9167582458
219,51.42,24.9726455009,18.187863522
220,51.03,25.8876087397,18.4027389191
221,51.33,24.6228465657,18.2004724868
222,51.48,24.908589374,18.1313265419
223,50.84,25.862039722,18.2686228648
224,51.59,23.8866189377,17.9157125138
225,51.81,24.1211722277,17.9399281275
