id,Actual,SVM,ANN
201,149.87,93.8785384781,74.2126356376
202,148.4,94.145001568,74.2126238272
203,147.8,94.1551490736,74.2002064682
204,147.51,94.9185047763,74.2001672947
205,146.15,94.9050120278,74.2027007892
206,143.34,95.5695784967,74.2113874723
207,144.67,95.9726952881,71.8967571382
208,144.02,96.1598575963,74.1645520454
209,142.91,79.9832758998,74.017446138
210,141.04,92.2231908693,67.2486030798
211,141.49,89.2751368532,66.6655549825
212,145.46,90.5584121617,66.6200458432
213,145.89,93.9878216959,73.1294342862
214,145.43,92.7443253928,74.2081518223
215,145.62,91.9218150895,74.210225381
216,147.96,92.4389040227,74.2126420167
217,146.88,95.1894800356,74.2124811243
218,146.71,93.8948743994,74.21259732
219,147.05,94.4294207035,74.2126031183
220,146.42,97.7908813764,74.2121119824
221,147.35,94.7580398015,74.2126229458
222,144.81,98.4883940451,74.2124662709
223,142.8,96.6592053888,74.2124767733
224,143.0,94.1120831406,74.2033180197
225,142.33,93.4122886801,74.2036249479
226,140.52,90.8258685276,74.2062587278
227,141.25,87.4281276411,74.4810723159
228,143.25,94.911485098,74.1848794391
229,143.81,94.0335956803,74.2023253997
230,141.19,92.6254770705,74.2126510373
231,140.73,90.9583108063,74.2052515132
232,140.64,89.5197629362,74.6768931099
233,140.1,89.5150626541,74.8219608882
234,141.62,88.3379886846,75.1254232761
235,142.96,87.9453019673,74.2114109354
236,142.8,90.4466507765,74.2125384494
237,142.29,89.7024415557,74.211137959
238,142.34,89.600598558,74.2086375835
239,143.43,89.4508275357,74.2125132849
240,145.38,90.5720214059,74.2126402743
241,145.13,90.3079131612,74.2126478213
242,145.7,90.958358333,74.2126467515
243,144.43,91.026341405,74.212649385
244,143.0,90.8005356583,74.2126470317
245,142.45,91.0281524486,74.2126541097
246,142.48,90.8300251986,74.2126609267
247,138.73,90.9668678356,74.2126403202
248,138.72,89.4648300975,75.0617978884
249,140.73,88.5231109763,74.6619668896
250,140.21,88.7702676898,74.2124073003
251,140.52,88.3787664912,74.2080508389
252,143.15,88.4425259841,74.5336085979
253,141.92,89.925423564,74.212646198
254,142.8,91.8070438375,74.2128523773
255,144.48,90.1302075711,74.2126687098
256,146.62,89.8339371243,74.2126660429
257,147.75,89.1060075926,74.2126639922
258,146.89,89.6173807985,74.212657942
259,148.49,90.3663345928,74.2126535599
260,146.84,90.3481196628,74.2126400354
261,146.72,90.8771854701,74.2126379825
262,145.0,93.0599925386,74.2126377232
263,146.47,93.3898131079,74.2126334856
264,146.11,94.1498337662,74.2126353199
265,144.06,94.9387274276,74.2126334994
266,141.03,95.8598156176,74.2126331323
267,141.81,95.3543114313,74.2012087654
268,144.14,94.4296836901,74.2003346583
269,143.01,96.1175686356,74.2126321556
270,144.17,96.5181498221,74.2124564094
271,143.69,98.3861145122,74.212630072
272,143.54,97.4370486235,74.2040805154
273,144.95,97.4932067434,74.1799446977
274,143.82,97.8408677669,74.2126306168
275,142.42,97.6891664415,74.2099083284
276,145.86,96.6738896513,74.2007846374
277,144.05,98.2674875765,74.2126322662
278,142.43,97.9652781457,74.2113381193
279,144.81,94.7153912808,74.2004885236
280,145.09,96.5456167534,74.2125082288
281,144.44,97.4708300983,74.2126439976
282,144.6,97.9321607188,74.2126242485
283,142.72,96.8618990879,74.2126487547
284,137.02,97.3212758192,74.2029752596
285,131.71,90.8243579823,74.8972620963
286,127.19,86.2984850523,67.0569532245
287,125.49,82.7584543545,52.4460134768
288,129.34,84.5850467486,52.3345439886
289,131.87,84.3208386656,53.4759767186
290,133.24,83.8332693776,64.3550281655
291,130.68,83.331802108,63.4566833921
292,127.44,76.0790586452,64.6005552403
293,130.63,84.8169121315,53.4243703867
294,131.02,84.5834750996,58.7823277893
295,129.76,84.984179627,59.4901906435
296,133.82,84.9008625759,58.7430868564
297,132.65,83.3626370011,59.5285776631
298,133.55,82.7447962666,59.4048056471
299,134.67,82.3768834119,54.7805536455
300,134.43,82.0885924514,70.1417539631
301,136.3,81.4465268152,70.5587912149
302,137.2,80.7747538524,74.2126598599
303,137.45,81.0109734616,74.2064217989
304,136.09,80.5174162893,74.1966080888
305,136.02,80.1491319755,74.2092893515
306,133.99,80.8673107081,74.2090333406
307,131.67,81.4644998045,61.0414114466
308,129.75,81.798242907,59.5927401557
309,131.01,82.9759375507,59.566569533
310,128.13,82.6930803062,59.5515489787
311,128.75,82.4364489875,58.9212902689
312,130.95,82.7399808014,57.5686880052
313,130.61,82.4286217682,59.4990155589
314,132.56,82.3634956586,59.487897331
315,134.02,79.7618971141,58.5465179923
316,134.63,79.458212494,65.2513867686
317,137.02,79.9336410817,70.0070297397
318,139.04,79.6764270176,74.2128692327
319,139.7,80.3747595443,74.209779564
320,140.68,81.440255419,74.1964561603
321,140.29,80.8083152282,74.2121192841
322,134.22,81.0266382685,74.1947866264
323,137.39,78.2699809487,74.2123069004
324,137.6,79.1516369736,74.2113946749
325,138.42,80.6043501443,74.2048510788
326,138.88,80.9239364225,74.2031467226
327,141.19,81.9676474572,74.19689964
328,146.31,82.7183073546,74.1945212769
329,146.7,84.0694902909,74.1966043517
330,146.7,85.1840272405,74.2084191872
331,148.46,85.9995129354,74.2121418291
332,147.88,86.0646294329,74.2124833761
333,147.18,88.1181989291,74.2126591529
334,148.07,89.0776054605,74.212666487
335,148.4,89.8293968492,74.2126485114
336,148.09,90.2839864261,74.2126304196
337,148.19,91.2720858857,74.2126656955
